400000 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400015 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400016 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400017 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400018 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400019 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400020 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400021 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400022 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: NAVY FEDERAL CREDIT UNION - UNITED STATES
400023 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: NAVY FEDERAL CREDIT UNION - UNITED STATES
400024 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: NEW HAMPSHIRE FEDERAL CREDIT UNION - UNITED STATES
400025 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400026 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400027 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400028 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE DONLEY COUNTY STATE BANK - UNITED STATES
400029 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: IOWA STATE BANK - UNITED STATES
400030 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400031 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400032 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400033 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400034 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400035 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400036 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400037 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: STATE BANK OF INDIA - INDIA
400038 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400039 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400040 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400041 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: BBVA USA - UNITED STATES
400042 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400043 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400044 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400045 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: STATE BANK OF INDIA - INDIA
400046 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: METROPOLITAN COMMERCIAL BANK - UNITED STATES
400047 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: NBKC BANK - UNITED STATES
400048 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400049 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: MISSION BANK - UNITED STATES
400050 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400051 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400052 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: IOWA STATE BANK - UNITED STATES
400053 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400054 - TYPE:  DEBIT  | LEVEL:  PREPAID RELOADABLE  | BANK: METABANK - UNITED STATES
400055 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: HIWAY CREDIT UNION - UNITED STATES
400056 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400057 - TYPE:  DEBIT  | LEVEL:  PREPAID WORKPLACE BENEFITS  | BANK: PNC BANK, NATIONAL ASSOCIATION - UNITED STATES
400058 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400059 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: GREATER NEVADA CREDIT UNION - UNITED STATES
400060 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: VISA EUROPE, LTD. - UNITED KINGDOM
400061 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: U.S. REGION - UNITED STATES
400062 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: DESCO FEDERAL CREDIT UNION - UNITED STATES
400063 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE BANK OF MISSOURI - UNITED STATES
400064 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: FARMERS BANK AND TRUST COMPANY - UNITED STATES
400065 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400066 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: INTERCONTINENTAL BANK PLC - NIGERIA
400067 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: AL RAJHI BANKING AND INVESTMENT CORP. - SAUDI ARABIA
400068 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO UNO, S.A. - HONDURAS
400069 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400070 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400071 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: STATE BANK FOR FOREIGN ECONOMIC AFFAIRS OF TURKMENISTAN - TURKMENISTAN
400072 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400073 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400074 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400075 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400076 - TYPE:  DEBIT  | LEVEL:  CORPORATE T&amp;E  | BANK: ABSA BANK MAURITIUS, LTD. - MAURITIUS
400077 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: STANDARD BANK (MAURITIUS), LTD. - MAURITIUS
400078 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: NOVAPAY LIMITED LIABILITY COMPANY - UKRAINE
400079 - TYPE:  CREDIT  | LEVEL:  REWARDS  | BANK: JSCB AK BARS (OJSC) - RUSSIAN FEDERATION
400080 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: RAIFFEISEN BANK SH.A. - ALBANIA
400081 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400082 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400083 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400084 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400085 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400086 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400087 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
400088 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400089 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400090 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: DEPARTMENT OF COMMERCE FEDERAL CREDIT UNION - UNITED STATES
400091 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400092 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400093 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: DEPARTMENT OF COMMERCE FEDERAL CREDIT UNION - UNITED STATES
400094 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: STAR NETWORKS, INC. - UNITED STATES
400095 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: DEPARTMENT OF COMMERCE FEDERAL CREDIT UNION - UNITED STATES
400096 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: FIRST SERVICE CREDIT UNION - UNITED STATES
400097 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400098 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: APNA SAHAKARI BANK - INDIA
400099 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400100 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: SRP FEDERAL CREDIT UNION - UNITED STATES
400101 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: COMMERCIAL BANK OF CALIFORNIA - UNITED STATES
400102 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400103 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO HIPOTECARIO, S.A. - ARGENTINA
400104 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO HIPOTECARIO, S.A. - ARGENTINA
400105 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: TEXAS BANK AND TRUST COMPANY - UNITED STATES
400106 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400107 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400108 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400109 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: HATTON NATIONAL BANK PLC - SRI LANKA
400110 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: FIFTH THIRD BANK - UNITED STATES
400111 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: FIFTH THIRD BANK - UNITED STATES
400112 - TYPE:  CREDIT  | LEVEL:  REWARDS  | BANK: MASHREQBANK - EGYPT
400113 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE PAULS VALLEY NATIONAL BANK - UNITED STATES
400114 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: FIFTH THIRD BANK - UNITED STATES
400115 - TYPE:  DEBIT  | LEVEL:  PREPAID BUSINESS  | BANK: ORIENT CORPORATION - JAPAN
400116 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: FIRST FINANCIAL BANK - UNITED STATES
400117 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400118 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400119 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: 
400120 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BANK OF THE JAMES - UNITED STATES
400121 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: 
400122 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE HOME TRUST &amp; SAVINGS BANK - UNITED STATES
400123 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: PNC BANK, NATIONAL ASSOCIATION - UNITED STATES
400124 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: WOORI BANK - KOREA, REPUBLIC OF
400125 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: CITIZENS&#039; BANK &amp; TRUST CO. - UNITED STATES
400126 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: PROVISIONAL BID - CHINA BANKING CORPORATION - PHILIPPINES
400127 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: TBBK CARD SERVICES, INC. - UNITED STATES
400128 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: FEDERATION DES CAISSES DESJARDINS DU QUEBEC - CANADA
400129 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: JSC MIB - UKRAINE
400130 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400131 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANKINTER, S.A. - PORTUGAL
400132 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: HYPO ALPE-ADRIA-BANK JSC - BOSNIA AND HERZEGOVINA
400133 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: AL-JANOOB ISLAMIC BANK FOR INVESTMENT AND FINANCING - IRAQ
400134 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400135 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: PLUS SYSTEM, INC. - UNITED STATES
400136 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400137 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: KNOXVILLE TVA EMPLOYEES CREDIT UNION - UNITED STATES
400138 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: NATIXIS ALGERIE - ALGERIA
400139 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: VISA EUROPE, LTD. - UNITED KINGDOM
400140 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: FIRST COMMUNITY BANK OF THE OZARKS - UNITED STATES
400141 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CESKA SPORITELNA, A.S (CZECH SAVINGS BANK) - CZECH REPUBLIC
400142 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SONY BANK INCORPORATED - JAPAN
400143 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: ITS, INC. - UNITED STATES
400144 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400145 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: THE DONLEY COUNTY STATE BANK - UNITED STATES
400146 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: TD BANK, NATIONAL ASSOCIATION - UNITED STATES
400147 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: CASEBINE COMMUNITY CREDIT UNION - UNITED STATES
400148 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: NATIXIS ALGERIE - ALGERIA
400149 - TYPE:  DEBIT  | LEVEL:  CORPORATE T&amp;E  | BANK: GCB BANK PLC - GHANA
400150 - TYPE:  DEBIT  | LEVEL:  PREPAID ELECTRON  | BANK: 
400151 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: WELLS FARGO BANK, NATIONAL ASSOCIATION - UNITED STATES
400152 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: 
400153 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CAIXA GERAL DE DEPOSITOS, S.A. - PORTUGAL
400154 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: ABSA BANK, LTD. - SOUTH AFRICA
400155 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: COMMERCIAL BANK OF KUWAIT, S.A.K. - KUWAIT
400156 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: COMMERCIAL BANK OF KUWAIT, S.A.K. - KUWAIT
400157 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: CORE BANK - UNITED STATES
400158 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE SOUTHERN CREDIT UNION - UNITED STATES
400159 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: ISRACARD, LTD. - ISRAEL
400160 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: EVOCABANK CJSC - ARMENIA
400161 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400162 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400163 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400164 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: SRP FEDERAL CREDIT UNION - UNITED STATES
400165 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: SRP FEDERAL CREDIT UNION - UNITED STATES
400166 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: CORE CREDIT UNION - UNITED STATES
400167 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: REPUBLIC BANK &amp; TRUST COMPANY - UNITED STATES
400168 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400169 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: NEW HORIZONS CREDIT UNION - UNITED STATES
400170 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400171 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: CSB NATIONAL RESERVE BANK - RUSSIAN FEDERATION
400172 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: CITIZENS&#039; BANK &amp; TRUST CO. - UNITED STATES
400173 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: WELLS FARGO BANK, NATIONAL ASSOCIATION - UNITED STATES
400174 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400175 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: WELLS FARGO BANK, N.A. - UNITED STATES
400176 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400177 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: ELGA CREDIT UNION - UNITED STATES
400178 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400179 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: TCM BANK, NATIONAL ASSOCIATION - UNITED STATES
400180 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: COMMUNITY STATE BANK - UNITED STATES
400181 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: HERITAGE SOUTH CREDIT UNION - UNITED STATES
400182 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400183 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: GREAT RIVER FEDERAL CREDIT UNION - UNITED STATES
400184 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400185 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400186 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: THE PAULS VALLEY NATIONAL BANK - UNITED STATES
400187 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: ASPEN FEDERAL CREDIT UNION - UNITED STATES
400188 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: LUFTHANSA AIRPLUS SERVICEKARTEN GMBH - GERMANY
400189 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: PINNACLE FEDERAL CREDIT UNION - UNITED STATES
400190 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO SANTANDER TOTTA, S.A. - PORTUGAL
400191 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400192 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: RESURS BANK AB - NORWAY
400193 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO MULTIPLE CARIBE INTERNACIONAL, S.A. - DOMINICAN REPUBLIC
400194 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: BANCO MULTIPLE CARIBE INTERNACIONAL, S.A. - DOMINICAN REPUBLIC
400195 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO AZTECA S.A. INSTITUCION DE BANCA MULTIPLE - MEXICO
400196 - TYPE:  DEBIT  | LEVEL:  PREPAID BUSINESS  | BANK: CCB BRASIL - BRAZIL
400197 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JESSOP COMMUNITY FEDERAL CREDIT UNION - UNITED STATES
400198 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO INDUSTRIAL, S.A. - GUATEMALA
400199 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
400200 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400201 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: YUANTA COMMERCIAL BANK CO., LTD. - TAIWAN, PROVINCE OF CHINA
400202 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: JHA PAYMENT PROCESSING SOLUTIONS - UNITED STATES
400203 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: THE TORONTO-DOMINION BANK - MBNA - CANADA
400204 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: THE TORONTO-DOMINION BANK - MBNA - CANADA
400205 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: WELLS FARGO BANK, NATIONAL ASSOCIATION - UNITED STATES
400206 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: HUDSON VALLEY CREDIT UNION - UNITED STATES
400207 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400208 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: FIRST ABU DHABI BANK PJSC - BAHRAIN
400209 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: HOMESTEAD BANK - UNITED STATES
400210 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400211 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: YUANTA COMMERCIAL BANK CO., LTD. - TAIWAN, PROVINCE OF CHINA
400212 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF CHINA, LTD. - CHINA
400213 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: HONG KONG AND SHANGHAI BANKING CORP., LTD. - BRUNEI DARUSSALAM
400214 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: HONG KONG AND SHANGHAI BANKING CORP., LTD. - BRUNEI DARUSSALAM
400215 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: BANK MUAMALAT MALAYSIA BERHAD - MALAYSIA
400216 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: DNB BANK ASA - NORWAY
400217 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: ITAU UNIBANCO HOLDING, S.A. - BRAZIL
400218 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BEACON CREDIT UNION - UNITED STATES
400219 - TYPE:  DEBIT  | LEVEL:  CORPORATE T&amp;E  | BANK: PT BANK KEB HANA INDONESIA - INDONESIA
400220 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: WELLS FARGO BANK, NATIONAL ASSOCIATION - UNITED STATES
400221 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BANK OF CHINA, LTD. - CHINA
400222 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: MADURO &amp; CURIELS BANK, N.V. - ARUBA
400223 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: BC CARD COMPANY, LTD. - KOREA, REPUBLIC OF
400224 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400225 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: ITAU UNIBANCO HOLDING, S.A. - BRAZIL
400226 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BLACKHAWK COMMUNITY CREDIT UNION - UNITED STATES
400227 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: MBANK, S.A. - POLAND
400228 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: MBANK, S.A. - POLAND
400229 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: CAPITAL ONE, NATIONAL ASSOCIATION - UNITED STATES
400230 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400231 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: NBKC BANK - UNITED STATES
400232 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: COMMERCE BANCSHARES, INC. - UNITED STATES
400233 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
400234 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: FINANCEIRA ITAU CBD S.A. CREDITO FINANCIAMENTO E INVESTIMENTO - BRAZIL
